date,summary.daily_gpp (623),summary.daily_tr (649),wf->evapotransp (34)
2002-01-01,none,none,0.56
2002-01-02,none,none,0.46
2002-01-03,none,none,0.41
2002-01-04,none,none,0.36
2002-01-05,none,none,0.41
2002-01-06,none,none,0.26
2002-01-07,none,none,0.17
2002-01-08,none,none,0.24
2002-01-09,none,none,0.21
2002-01-10,none,none,0.28
2002-01-11,none,none,0.33
2002-01-12,none,none,0.38
2002-01-13,none,none,0.08
2002-01-14,none,none,0.06
2002-01-15,none,none,0.08
2002-01-16,none,none,0.08
2002-01-17,none,none,0.3
2002-01-18,none,none,0.35
2002-01-19,-0.51,0.54,0.38
2002-01-20,0.47,0.79,0.37
2002-01-21,0.02,0.84,0.33
2002-01-22,-0.9,0.69,0.19
2002-01-23,0.08,0.68,0.11
2002-01-24,0.16,0.89,0.02
2002-01-25,0.69,0.95,0.38
2002-01-26,1,1.06,0.39
2002-01-27,-0.32,1.23,0.19
2002-01-28,0.38,1.28,0.43
2002-01-29,0.11,0.73,0.24
2002-01-30,0.71,0.93,0.51
2002-01-31,1.06,1.38,0.43
2002-02-01,1.34,1.48,0.54
2002-02-02,0.76,1.09,0.5
2002-02-03,0.74,1.16,0.68
2002-02-04,1.29,1.4,0.48
2002-02-05,1.11,1.46,0.59
2002-02-06,0.93,1.21,0.39
2002-02-07,1.1,1.13,0.49
2002-02-08,0.95,1.13,0.43
2002-02-09,1.56,1.62,0.87
2002-02-10,1.68,1.55,1.41
2002-02-11,1.66,1.74,1.18
2002-02-12,2.31,1.95,1.15
2002-02-13,2.02,2.09,1.18
2002-02-14,0.6,1.67,0.77
2002-02-15,0.35,1.29,0.52
2002-02-16,1.61,1.57,0.88
2002-02-17,1.69,1.54,0.8
2002-02-18,1.61,1.87,0.92
2002-02-19,1.93,1.89,1.32
2002-02-20,0.72,1.73,0.99
2002-02-21,1.72,1.19,1.07
2002-02-22,0.6,0.73,0.81
2002-02-23,0.77,1.03,1.03
2002-02-24,1.5,0.79,1.94
2002-02-25,1.42,0.93,1.14
2002-02-26,0.88,1.16,1.22
2002-02-27,1.78,1.1,1.14
2002-02-28,2.18,0.99,1.85
2002-03-01,1.37,0.82,1.15
2002-03-02,1.7,0.89,0.49
2002-03-03,3.36,1.27,1.02
2002-03-04,4.65,1.16,1.4
2002-03-05,2.93,1.05,0.77
2002-03-06,3.87,1.83,1.4
2002-03-07,2.58,2.01,1.23
2002-03-08,3.88,1.99,1.54
2002-03-09,4.58,2.02,1.48
2002-03-10,4.65,2.14,1.52
2002-03-11,5.41,1.96,1.6
2002-03-12,5.19,2.15,1.49
2002-03-13,4.4,2.5,1.71
2002-03-14,2.57,1.49,0.67
2002-03-15,4.01,1.61,0.78
2002-03-16,5,2.16,1.54
2002-03-17,6.13,2.6,1.55
2002-03-18,4.84,2.76,1.83
2002-03-19,1.24,3.02,1.05
2002-03-20,5.25,3.53,2.26
2002-03-21,7.09,3.79,3.06
2002-03-22,3.65,3.3,1.6
2002-03-23,5.7,2.25,1.33
2002-03-24,3.92,1.79,1.21
2002-03-25,4.21,1.76,2.29
2002-03-26,7.07,2.27,2.56
2002-03-27,7.57,2.97,2.54
2002-03-28,8.36,3.93,2.33
2002-03-29,10.72,5.77,2.72
2002-03-30,4.14,4.85,0.49
2002-03-31,11.21,6.45,2.53
2002-04-01,8.15,3.65,2.38
2002-04-02,8.33,3.78,2.68
2002-04-03,11.56,4.04,2.63
2002-04-04,7.95,3.85,2.58
2002-04-05,11.03,3.33,2.25
2002-04-06,10.23,2.77,2.3
2002-04-07,8.5,2.47,1.5
2002-04-08,7.46,1.54,1.1
2002-04-09,10.75,1.63,2.27
2002-04-10,9.97,1.68,2.05
2002-04-11,9.98,2.01,2.37
2002-04-12,7.69,2.1,1.79
2002-04-13,3.16,2.54,0.82
2002-04-14,5.79,2.33,0.69
2002-04-15,8.12,2.44,1.24
2002-04-16,8.34,2.63,1.38
2002-04-17,8.24,3.46,1.13
2002-04-18,11.2,4.09,2.52
2002-04-19,11.54,4.32,2.74
2002-04-20,9.87,3.61,1.43
2002-04-21,9.96,4.64,1.66
2002-04-22,13.97,5.32,2.68
2002-04-23,14.02,6,3.28
2002-04-24,5.49,5.55,0.74
2002-04-25,13.41,6.78,2.67
2002-04-26,9.29,5.47,1.89
2002-04-27,13.87,4.63,3.24
2002-04-28,11.44,4.32,2.52
2002-04-29,9.01,4.31,1.72
2002-04-30,9.47,3.95,2.25
2002-05-01,9.01,3.81,1.93
2002-05-02,7.68,3.68,1.49
2002-05-03,8.74,3.68,1.55
2002-05-04,10.5,3.59,2.1
2002-05-05,10.91,3.46,1.94
2002-05-06,14.03,3.25,2.4
2002-05-07,15.32,3.96,3.37
2002-05-08,13.76,4.43,2.03
2002-05-09,12.77,4.47,2.31
2002-05-10,12.29,4.58,3.51
2002-05-11,10.92,4.44,2.48
2002-05-12,11.34,3.98,2.23
2002-05-13,13.14,3.64,3.21
2002-05-14,11.49,3.8,5.11
2002-05-15,3.94,5.75,3.39
2002-05-16,1.89,6.48,2.33
2002-05-17,2.95,7.19,3.13
2002-05-18,-1,5.46,1.65
2002-05-19,1.63,5.66,1.19
2002-05-20,5.1,6.63,3.07
2002-05-21,5.74,7.86,3.18
2002-05-22,3.84,9.37,2.62
2002-05-23,2.07,6.71,1.16
2002-05-24,6.65,7.49,2.94
2002-05-25,3.85,6.15,1.03
2002-05-26,6.11,6.45,2.56
